range,values
'Cotizaciones'!F16,[['Z390 UD (rev. 1.0)']]
'Cotizaciones'!M16,[[0.96]]
'Cotizaciones'!N16,[['MOBO']]
'Cotizaciones'!F17,[['04G-P4-1457-KR']]
'Cotizaciones'!M17,[[0.93]]
'Cotizaciones'!N17,[['GPU']]
'Cotizaciones'!F18,[['AX4S266638G18-SBHT']]
'Cotizaciones'!M18,[[0.95]]
'Cotizaciones'!N18,[['RAM']]
'Cotizaciones'!F19,[['WDS240G3G0B']]
'Cotizaciones'!M19,[[0.96]]
'Cotizaciones'!N19,[['SSD']]
'Cotizaciones'!F20,[['WD10EZEX']]
'Cotizaciones'!M20,[[0.95]]
'Cotizaciones'!N20,[['HDD']]
'Cotizaciones'!F21,[['CYLON/BL']]
'Cotizaciones'!M21,[[0.96]]
'Cotizaciones'!N21,[['CASE']]
'Cotizaciones'!F22,[['PSG650']]
'Cotizaciones'!M22,[[0.98]]
'Cotizaciones'!N22,[['PSU']]
'Cotizaciones'!F23,[['RR-212E-20PK-R2']]
'Cotizaciones'!M23,[[0.97]]
'Cotizaciones'!N23,[['AIRC']]
'Cotizaciones'!F26,[['04G-P4-1457-KR']]
'Cotizaciones'!M26,[[0.95]]
'Cotizaciones'!N26,[['GPU']]
'Cotizaciones'!F27,[['AX4U26668G16-SBHT']]
'Cotizaciones'!M27,[[0.96]]
'Cotizaciones'!N27,[['RAM']]
'Cotizaciones'!F28,[['WDS240G3G0B']]
'Cotizaciones'!M28,[[1.0]]
'Cotizaciones'!N28,[['SSD']]
'Cotizaciones'!F29,[['WD10EZEX']]
'Cotizaciones'!M29,[[0.99]]
'Cotizaciones'!N29,[['HDD']]
'Cotizaciones'!F30,[['CC-9011166-WW']]
'Cotizaciones'!M30,[[1.0]]
'Cotizaciones'!N30,[['CASE']]
'Cotizaciones'!F31,[['CYLON 700W']]
'Cotizaciones'!M31,[[0.98]]
'Cotizaciones'!N31,[['PSU']]
'Cotizaciones'!F32,[['BK005']]
'Cotizaciones'!M32,[[1.0]]
'Cotizaciones'!N32,[['AIRC']]
'Cotizaciones'!F35,[['90MB10J0-M0EAYC']]
'Cotizaciones'!M35,[[0.94]]
'Cotizaciones'!N35,[['MOBO']]
'Cotizaciones'!F37,[['WDS100T2B0B']]
'Cotizaciones'!M37,[[1.0]]
'Cotizaciones'!N37,[['SSD']]
'Cotizaciones'!F39,[['CA-H510B-W1']]
'Cotizaciones'!M39,[[0.95]]
'Cotizaciones'!N39,[['CASE']]
'Cotizaciones'!F40,[['CYLON 700W']]
'Cotizaciones'!M40,[[0.93]]
'Cotizaciones'!N40,[['PSU']]
'Cotizaciones'!F41,[['Z1INSSO10PRO']]
'Cotizaciones'!M41,[[1.0]]
'Cotizaciones'!N41,[['Sistema Operativo']]
'Cotizaciones'!F44,[['B460M PRO']]
'Cotizaciones'!M44,[[1.0]]
'Cotizaciones'!N44,[['MOBO']]
